# State log
# simt, id, lat, lon, distflown, alt, cas, tas, gs
0.00000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.35000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.40000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.50000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.60000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.70000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.80000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.90000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.10000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.01143000,0.00000000,0.00000000,0.00000000
1.20000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.03810000,0.00000000,0.00000000,0.00000000
1.30000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.08001000,0.00000000,0.00000000,0.00000000
1.45000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.17145000,0.00000000,0.00000000,0.00000000
1.55000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.25146000,0.00000000,0.00000000,0.00000000
1.65000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.34671000,0.00000000,0.00000000,0.00000000
1.75000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.52705000,0.00000000,0.00000000,0.00000000
1.85000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,0.78105000,0.00000000,0.00000000,0.00000000
1.95000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,1.03505000,0.00000000,0.00000000,0.00000000
2.05000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,1.28905000,0.00000000,0.00000000,0.00000000
2.15000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,1.54305000,0.00000000,0.00000000,0.00000000
2.25000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,1.79705000,0.00000000,0.00000000,0.00000000
2.35000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,2.05105000,0.00000000,0.00000000,0.00000000
2.45000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,2.30505000,0.00000000,0.00000000,0.00000000
2.55000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,2.55905000,0.00000000,0.00000000,0.00000000
2.65000000,EVT_SBGR_EASA_R2_180,-23.43200000,-46.47000000,0.00000000,2.81305000,0.00000000,0.00000000,0.00000000
